Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
5300;False;Loft;2;False;200;Indvendig efterisolering af skråvægge med 150 mm isolering;1-1-1-0
7300;False;Ovenlys;7;False;200;Udskiftning af ovenlysvindue til tolags energirude;1-3-2-0
10500;False;Loft;3;True;300;Efterisolering af loftsrum med 150 mm isolering;1-1-1-0
15000;False;Varmepumper;4;False;200;Installation af ny luft/luft anlæg, IVT Nordic 12 FR-N;2-1-5-0
63000;False;Solceller;5;True;3700;Montage af nye solceller, Monokrystallinske silicium, 3,6 kW;4-1-3-0
