Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
5700;False;Massive ydervægge;370670;True;400;Efterisolering af massiv ydervæg;1-2-2-0
23000;False;Krybekælder;370669;True;700;Efterisolering af gulv mod krybekælder;1-4-3-0
36500;False;Loft;370671;False;800;"Efterisolering af skråvæg

Efterisolering af loft";1-1-1-0
131000;False;Vinduer;370672;False;2700;"Nyt vindue med 3 lags energirude.

Udskiftning af rude i skydedør.

Nyt vindue med 3 lags energirude.";1-3-1-0
