Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
24075;False;Tag og loft;43;False;600;Supplerende isolering mod loftrum.;1-1-0-0
37000;False;Vinduer, ovenlys og døre;40;False;1900;Udskiftning til energiglas.;1-3-0-0
145000;False;Varmefordeling;42;False;9200;Installation af gasfyret centralvarme.;2-2-0-0
218500;False;Ydervægge;44;False;1100;Supplerende ydervægsisolering.;1-2-0-0
303240;False;Gulve;41;False;2400;Supplerende isolering under gulve.;1-4-0-0
