Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
9200;False;Varmefordelingspumper;210984;True;10600;"Udskiftning af cirkulationspumper
";2-2-3-0
66400;True;Loft;210965;True;13000;Efterisolering af loft;1-1-1-0
87400;True;Yderdøre;210973;False;11700;Udskiftning af yderdøre;1-3-3-0
125000;False;Solceller;210983;True;10600;Etablering af solceller;4-1-3-0
519800;True;Vinduer;210970;False;18700;Nye vinduer med 3 lags energiruder.;1-3-1-0
