Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
700;False;Varmtvandsrør;5;True;100;Isolering af brugsvandsrør og cirkulationsledning op til 50 mm;3-1-3-0
4500;False;Varmtvandspumper;6;False;300;"Ny cirkulationspumpe, som Comfort UP 15-14B(A,X,XA) PM, 8 W. Forslaget er ikke rentabelt alene med energibesparelser for øje, men ved renovering i anden sammenhæng bør forslaget udføres
";3-1-4-0
7600;False;Varmerør;4;True;900;Der monteres vejrkompensering;2-2-2-0
23600;False;Vinduer;3;False;500;"Det er ikke rentabelt med energimæssig udskiftning af alle vinduer og døre men ved vedligeholdelses mæssig udskiftning bør det tilsikres at elementerne er i bedste energiklasse.
";1-3-1-0
111200;False;Solceller;7;False;5300;"Montage af nye solceller, Monokrystaliske silicium, 6 kW. Forslaget er ikke rentabelt alene med energibesparelser for øje, men ved renovering i anden sammenhæng bør forslaget udføres
";4-1-3-0
