id_lokalId;husnummer;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
c10ac456-1313-4c86-9828-bdc8e19b4591;0a3f507c-eccf-32b8-e044-0003ba298018;920;;;;1976;;;;;POINT(707156.88 6175755.07);5;6
c10c1d22-636e-4c76-aef6-053957c217d8;0a3f507d-1c34-32b8-e044-0003ba298018;120;66;98;;1948;;1;;90;POINT(707599.05 6172640.68);5;6
c10c23cf-283e-483e-aefd-cbc6d8161b9c;48cf6ea7-1e6c-4e0c-88c9-c2a213068fcd;920;;;;1967;1979;;;;POINT(707588.13 6173073.25);5;6
c10d1b68-ebe7-4d15-b699-f8fc901e7a4c;0a3f507c-eb80-32b8-e044-0003ba298018;930;;;;1986;;;;;POINT(699952.72 6172450.87);5;6
c10dae04-c355-4368-9130-4ac2febc381a;0a3f507d-1605-32b8-e044-0003ba298018;930;;;;1968;;;;;POINT(706891.4 6171004.57);5;6
c1102c62-b802-4593-b03d-c170a2c93198;0a3f507d-00d0-32b8-e044-0003ba298018;130;105;105;;1969;;1;;;POINT(708199.26 6170872.76);5;6
c112d167-b63c-47d9-b769-c2d9b2256fb6;0a3f507d-175f-32b8-e044-0003ba298018;930;;;;2008;;;;;POINT(707261.68 6172585.52);5;6
c1143cc0-62f5-496c-87f1-1eae88474948;0a3f507d-053a-32b8-e044-0003ba298018;930;;;;1987;;;;;POINT(705830.22 6170795.24);5;6
c1159252-bd12-4396-b1d1-2c57f05af9cd;0a3f507c-f8f0-32b8-e044-0003ba298018;120;129;129;;1974;;2;7;90;POINT(700759.1 6173435.1);5;6
c11861da-23f2-47c7-971f-4c4dec3ab65b;0a3f507d-2093-32b8-e044-0003ba298018;930;;;;1930;;;;;POINT(702599.96 6171884.21);5;6
c11917e1-5281-49de-b3ae-a17a73d0123a;0a3f507d-02f3-32b8-e044-0003ba298018;120;98;167;;1979;;7;1;2;POINT(700090.28 6172060.88);5;6
c11c012b-6673-4386-82f9-c66d35799833;0a3f507c-f80b-32b8-e044-0003ba298018;910;;;;;;;;;;;10
c11cdb6b-d799-40cf-bef2-3404598fcba1;0a3f507d-2357-32b8-e044-0003ba298018;120;125;223;;1970;;7;1;2;POINT(704306.76 6176124.19);5;6
c11d08e2-73fc-4dd8-93c0-fec633c5cbd3;0a3f507c-fbb3-32b8-e044-0003ba298018;930;;;;1978;;;;;POINT(705589.95 6172284.32);5;6
c11d0e49-0862-4528-8ffd-cb4a2d1941ec;0a3f507c-ff6a-32b8-e044-0003ba298018;130;568;568;;1993;;1;;90;POINT(706293.72 6170464.29);5;6
c1209049-f196-4b52-8505-3438e7601d48;0a3f507d-1d78-32b8-e044-0003ba298018;120;83;83;;1960;;5;1;;POINT(700383.48 6172567.36);5;6
c122c413-7e7e-43df-870d-e01bd4cca973;0a3f507d-0136-32b8-e044-0003ba298018;130;58;115;;1974;;1;;;POINT(707951.56 6170736.39);5;6
c1231338-a1e2-4441-b56a-3fcd85bc9be5;0a3f507d-076f-32b8-e044-0003ba298018;130;81;132;;1987;;2;7;;POINT(702509.68 6172253.88);5;6
c1265e29-535d-4792-8dae-b906746e8ce6;0a3f507d-1a64-32b8-e044-0003ba298018;120;139;139;;1966;;7;1;90;POINT(700152.96 6172532.5);5;6
c126c681-eb57-4906-83fd-5a547c52a195;0a3f507d-0999-32b8-e044-0003ba298018;140;82;82;;1960;;2;3;;POINT(708277.53 6173028.05);5;6
c1270ca8-99ac-4020-837a-1ac94f7eabfc;0a3f507d-2489-32b8-e044-0003ba298018;120;;37;;;;;;;;;9
c12f0dfc-dcbc-45e8-9f3d-4e791a86afdb;0a3f507d-088a-32b8-e044-0003ba298018;120;144;111;;1969;;1;;2;POINT(709301.02 6170854.01);5;6
c12f301f-3332-42ae-8853-360b3618f10d;0a3f507d-0a95-32b8-e044-0003ba298018;910;;;;1969;;;;;POINT(708485.8 6171064.2);5;6
c13299f9-dff1-47b1-b300-4b74fb2f67ea;0a3f507d-0a35-32b8-e044-0003ba298018;910;;;;1958;;;;;POINT(708187.02 6172011.08);5;6
c1333757-40cf-4809-8d78-f787118fd157;0a3f507d-0df8-32b8-e044-0003ba298018;120;15;;;;;;;;;;9
c135f557-7c4a-41d4-80ef-ab5469205d35;0a3f507d-1c3b-32b8-e044-0003ba298018;930;;;;2003;;;;;POINT(707532.17 6172700.52);5;6
c1369cf1-670f-4c86-9569-dc1b71f071e8;0a3f507d-0211-32b8-e044-0003ba298018;130;110;103;;1961;1985;1;;;POINT(708436.08 6172792.84);5;6
c136bb77-b755-4e10-804b-b360e2464212;0a3f507c-ecda-32b8-e044-0003ba298018;920;;;;1980;;;;;POINT(707071.92 6175764.43);5;6
c1373ae3-b8a8-4c5d-b72f-13431854ee26;0a3f507c-fc75-32b8-e044-0003ba298018;920;;;;1986;;;;;POINT(700168.33 6171697.93);5;6
c13a477d-122b-4708-bc7a-23f79bdc2f3e;0a3f507d-1c6d-32b8-e044-0003ba298018;130;46;83;;1962;;1;;90;POINT(708127.09 6171752.54);5;6
c13a656a-f7a6-4d69-8ad5-2f91fc03d05f;81a4e891-c76b-4505-a079-9c05f7e0bb66;930;;;;1987;;;;;POINT(700704.18 6170641.37);5;6
c13add0b-6bd7-4ae8-8ec1-6986327d81ad;0a3f507d-07b5-32b8-e044-0003ba298018;930;;;;2009;;;;;POINT(705023.87 6175379.51);5;6
