Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
101300;False;Solceller;0;True;7000;Montage af nye solceller, Monokrystallinske silicium, 6,0 kW;4-1-3-0
265000;False;Varmeanlæg;1;False;5200;"Konvertering til luft/vand varmepumpe:

- Installation af nyt luft/vand anlæg, Bosch Compress EHP 13 AWO

- Installation af ny 285 liters varmtvandsbeholder til Bosch Compress EHP 13 AWO,

- Installation af pumpe til Bosch Compress EHP 13 AWO

- Etablering af nyt vandbåren varmefordelingsanlæg (mellem ca. 23 stk. radiatorer, 2 strenget)";2-1-1-0
