Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2100;False;Varmerør;7;True;200;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
2900;False;Loft;5;False;60;Efterisolering af lodret skunk med 100 mm isolering.;1-1-1-0
4500;False;Loft;6;False;90;Efterisolering af vandret skunk med 100 mm isolering.;1-1-1-0
6300;False;Varmerør;8;True;300;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
7400;False;Yderdøre;0;False;200;Udskiftning til ny udv. dørr med tolags energirude;1-3-3-0
9200;False;Loft;4;False;200;Indvendig efterisolering af skråvægge med 100 mm isolering.;1-1-1-0
10100;False;Lette ydervægge;3;False;200;Efterisolering af lette ydervægge af træ med 200 mm isolering.;1-2-3-0
18000;False;Varmepumper;10;True;1500;Installation af nyt luftvarmeanlæg, (luft/luft), 4,7 kW som type IVT Nordic 12 LR-N;2-1-5-0
28000;False;Vinduer;1;False;500;Udskiftning af vindue med tolags termorude til tolags energirude;1-3-1-0
99200;False;Solceller;9;True;5000;Montage af nye solceller, Monokrystaliske silicium, 5 kW;4-1-3-0
138700;False;Hule ydervægge;2;False;2000;Udvendig efterisolering med 100 mm isolering og afsluttende facadepuds.;1-2-1-0
