Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
4600;False;Lette ydervægge;0;False;60;Indvendig efterisolering af træskeletvæg til en samlet isoleringsmængde på 250 mm;1-2-3-0
8000;False;Varmtvandsbeholder;10;False;200;Varmtvandsbeholder til solvarme - 200L;3-1-5-0
16000;False;Yderdøre;2;False;500;Udskiftning af yderdør m. termorude;1-3-3-0
16000;False;Yderdøre;3;False;500;Udskiftning af terrassedør m. termorude;1-3-3-0
16000;False;Yderdøre;7;False;400;Udskiftning af yderdør m. termorude;1-3-3-0
17200;False;Vinduer;5;False;500;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
17200;False;Vinduer;6;False;500;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
25300;False;Yderdøre;4;False;700;Udskiftning af Skydedør m. termorude;1-3-3-0
25500;False;Vinduer;1;False;800;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
40000;False;Solvarme;9;True;2300;Etablering af et nyt solvarmeanlæg til produktion af varmt brugsvand;2-1-6-0
60000;False;Solceller;8;True;3600;Montering af et solcelleanlæg på 20 m²;4-1-3-0
