Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1200;False;Automatik;141017;True;200;Montage af termostatventiler på radiatorer.;2-2-4-0
1400;False;Etageadskillelse;140982;True;40;Efterisolering af gulv mod kælder;1-4-2-0
4400;False;Varmefordelingspumper;140990;True;0;Ældre pumpe udskiftes til ny lavenergipumpe. ;2-2-3-0
8800;False;Vinduer;140987;False;70;Nyt ovenlys med 2 lags energirude.;1-3-1-0
19600;False;Krybekælder;140983;True;1500;Efterisolering af gulv mod krybekælder;1-4-3-0
38200;False;Lette ydervægge;140985;False;300;Efterisolering af let ydervæg;1-2-3-0
84400;False;Loft;140984;False;1100;"Efterisolering af loft

Efterisolering af skråvægge";1-1-1-0
