Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1600;False;Vinduer;6;False;40;Udskiftning af vindue til tolags energirude;1-3-1-0
3000;False;Loft;0;True;100;Udskiftning af loftslem til ny med 60 mm isolering;1-1-1-0
4000;False;Vinduer;5;False;90;Udskiftning af vindue til tolags energirude;1-3-1-0
4500;False;Varmtvandspumper;12;False;200;Ny cirkulationspumpe;3-1-4-0
5700;False;Varmefordelingspumper;11;False;-100;Ny varmefordelingspumpe, som Grundfos Alpha2, 15-40/25-40/25-40A/32-40, 18 W;2-2-3-0
6000;False;Vinduer;10;False;200;Udskiftning af vindue til tolags energirude;1-3-1-0
6400;False;Vinduer;2;False;200;Udskiftning af vindue til tolags energirude;1-3-1-0
10600;False;Vinduer;1;False;300;Udskiftning af vindue til tolags energirude;1-3-1-0
11400;False;Yderdøre;7;False;300;Udskiftning til ny yderdør med tolags energirude;1-3-3-0
12000;False;Yderdøre;4;False;300;Udskiftning til ny terrassedør med tolags energirude;1-3-3-0
12000;False;Vinduer;8;False;300;Udskiftning af vindue til tolags energirude;1-3-1-0
12800;False;Vinduer;9;False;300;Udskiftning af vindue til tolags energirude;1-3-1-0
13200;False;Yderdøre;3;False;300;Udskiftning til ny terrassedør med tolags energirude;1-3-3-0
20000;False;Varmepumper;13;True;3400;Installation af nyt luftvarmeanlæg, (luft/luft), 6,5 kW som type Bosch Compress 7000 6,5;2-1-5-0
79300;False;Solceller;14;True;4600;Montage af nye solceller, Monokrystaliske silicium, 4 kW;4-1-3-0
