Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1750;False;Varmefordeling;54;True;4700;Isolering af varmefordelingsrør;2-2-0-0
4500;False;Varmefordeling;53;Kan ikke beregnes;Kan ikke beregnes;Montering af ny cirkulationspumpe på varmeanlæg;2-2-0-0
12500;False;Ydervægge;52;True;900;Indvendig  efterisolering af ydervægge;1-2-0-0
30000;False;Gulve;50;False;1400;Efterisolering af etageadskillelse mod krybekælder;1-4-0-0
43940;False;Vinduer, ovenlys og døre;48;False;2900;Energiruder i eks vinduesrammer og nye yderdøre;1-3-0-0
45000;False;Solvarme;56;False;2200;Montering af solfanger, vakumrør og beholder til brugsvand;2-1-6-0
60000;False;Varmeanlæg;57;True;7000;Udskiftning af kedel til kondenserende kedel (Energimærke A);2-0-0-0
66000;False;Ydervægge;51;True;2600;Efterisolering af massive ydervægge med 200 mm.;1-2-0-0
109250;False;Tag og loft;49;False;7400;Udvendig efterisolering af fladt tag med 250 mm.;1-1-0-0
172000;False;Solceller;55;False;200;Montering af 40 kvm solceller i taget;4-1-3-0
