Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
700;True;Varmtvandsrør;14;True;800;Isolering af tilslutningsrør til varmtvandsbeholder op til 50 mm;3-1-3-0
2600;False;Varmerør;10;True;4100;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
4000;True;Automatik;11;True;2500;Montage af termostatventiler.;2-2-4-0
4900;False;Yderdøre;5;True;500;Udskiftning af ruder i yderdør, til trelags energirude;1-3-3-0
5500;False;Varmtvandsbeholder;12;True;6400;Udskiftning og efterisolering af varmtvandsbeholder;3-1-5-0
8000;False;Automatik;9;True;2500;Montage af automatik for central styring.;2-2-4-0
20100;False;Loft;3;True;1600;Efterisolering af loftsrum med 250 mm isolering´ved tilbygning;1-1-1-0
21400;False;Vinduer;7;True;1700;Udskiftning af ruder til trelags energirude;1-3-1-0
27800;False;Hule ydervægge;0;True;900;Indvendig montage af forsatsvæg med 50 mm isolering.;1-2-1-0
35000;False;Solvarme;17;True;2700;Montering af plan solfanger til brugsvand;2-1-6-0
35800;False;Yderdøre;6;True;1700;Udskiftning til ny terrassedør med trelags energirude ved tilbygning;1-3-3-0
42100;False;Loft;2;True;7600;Efterisolering af loftsrum med 350 mm isolering og fjernelse af eksisterende isolering. ;1-1-1-0
57000;False;Solceller;16;True;6000;Montage af nye solceller, Monokrystaliske silicium, 6 kW;4-1-3-0
70000;False;Kedler;8;True;-24330;Udskiftning af kedel til ny fastbrændselskedel;2-1-2-0
84800;False;Massive ydervægge;1;True;9100;Indvendig efterisolering af massive ydervægge med 200 mm.;1-2-2-0
113600;False;Terrændæk;4;False;2600;Ophugning af eksisterende terrændæk og støbning af nyt med 250 mm. mineraluld eller polystyrenplader;1-4-1-0
