Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
5700;False;Varmefordelingspumper;5;False;400;Ny varmefordelingspumpe til gulvvarmen , som Grundfos Alpha2, 15-40/25-40/25-40A/32-40, 18 W;2-2-3-0
10800;False;Kældergulv;0;False;400;Efterisolering af etageadskillelse mod krybekælder med 100 mm isolering;1-4-4-0
81000;False;Solceller;3;True;5900;Montage af nye solceller, Monokrystallinske silicium, 4,8 kW;4-1-3-0
94000;False;Vinduer;1;False;1100;Udskiftning af  2 lags termoruder til 3 lags energiruder i vinduer og yderdøre;1-3-1-0
110700;False;Kedler;4;True;12400;Montage af automatik for central styring, Konvertering til varmepumpe, Installation af nyt luft/vand anlæg, Bosch Compress 6000 AW-13 og Ny varmefordelingspumpe, som Grundfos Alpha2, 15-40/25-40/25-40A/32-40, 18 W;2-1-2-0
136000;False;Kælder ydervægge;2;True;6300;Udvendig efterisolering af kælderydervægge mod jord med 200 mm;1-2-4-0
