Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
2300;False;Varmerør;9;True;900;Isolering af varmefordelingsrør op til 50 mm (Vent.);2-2-2-0
4500;False;Varmefordelingspumper;6;True;1300;Ventilation - ny pumpe (Vent.);2-2-3-0
14500;False;Belysning;0;True;1700;Fitnessrum/ventilationsrum: Udskift til LED.;4-1-1-0
23200;False;Etageadskillelse;11;True;1200;Portgennemgang:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
24900;False;Varmerør;7;True;1400;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
28900;False;Varmtvandsrør;4;True;5500;Isolering af brugsvandsrør op til 50 mm;3-1-3-0
47500;False;Yderdøre;15;False;1500;Nye kælderdøre;1-3-3-0
99500;False;Ventilation;5;False;2900;Udskiftning af aggregat ved ventilationsanlæg;1-5-1-0
114400;False;Etageadskillelse;12;True;5700;Mod det fri ved terrasse på 3. sal:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
209000;False;Massive vægge mod uopvarmet rum;8;True;13200;Udvendig efterisolering af vægge mod uopvarmet rum med 200 mm;1-2-2-1
246700;False;Belysning;1;True;26800;Kælder (svømmehal m.m.): Udskift rør til LED og monter lys og bevægelses styring;4-1-1-0
403600;False;Vinduer;14;True;16600;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
498800;False;Etageadskillelse;10;False;10700;Efterisolering af gulv mod uopvarmet kælder med 50 mm isolering;1-4-2-0
952600;False;Vinduer;16;True;36800;Udskiftning af ruder i facadepartier med termoruder;1-3-1-0
1050000;False;Solceller;2;True;74600;Etablering af solceller;4-1-3-0
1398300;False;Fladt tag;13;False;19500;Efterisolering af fladt tag med 200 mm isolering, så den samlede isolering udgør 300 mm ;1-1-2-0
1520000;False;Solvarme;3;False;47100;Etablering af solvarme ;2-1-6-0
