Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Varmeanlæg;7;False;0;Konvertering til opvarmning via varmepumpe;2-1-1-0
8000;False;Loft;3;True;400;Efterisolering af gulv i skunkrum;1-1-1-0
8200;False;Loft;2;True;400;Efterisolering af skunkvæg;1-1-1-0
15000;False;Ovne;9;False;100;Udskiftning af brændeovn;2-1-4-0
22500;False;Vinduer;6;True;900;Udskiftning af vinduer med nye energivinduer (BR18 krav);1-3-1-0
80000;False;Solceller;11;False;3800;Montering af et solcelleanlæg på 30 m²;4-1-3-0
80300;False;Yderdøre;10;False;2600;Yderdøre m. termoruder udskiftes;1-3-3-0
91300;False;Lette ydervægge;5;False;500;Indvendig efterisolering af træskeletvæg til en samlet isoleringsmængde på 250 mm;1-2-3-0
160000;False;Varmepumper;8;True;13100;Ny varmtvandsbeholder ved ny brugsvandsvarmepumpe, Installation af luft-vand varmepumpe til opvarmning og produktion af varmt brugsvand og Etablering af et nyt centralvarmeanlæg i bygningen;2-1-5-0
187300;False;Loft;1;False;1400;Efterisolering af skråvægge;1-1-1-0
206900;False;Lette ydervægge;0;False;1000;Indvendig efterisolering af ydervæg til en samlet isoleringsmængde på 250 mm ;1-2-3-0
300900;False;Krybekælder;4;False;1300;Etablering af nyt terrændæk i den nuværende krybekælder;1-4-3-0
