Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Vinduer;260032;False;1100;Udskiftning af ruder ;1-3-1-0
8030;False;Kedler;260028;False;0;Konvertere til naturgas, ny varmtvandsbeholder og efterisolering af varmerør ;2-1-2-0
32480;False;Loft;260029;True;2500;Efterisolering af vandret loft ;1-1-1-0
136880;False;Hule ydervægge;260031;False;2600;Efterisolering af hul- og let ydervæg ;1-2-1-0
142500;False;Terrændæk;260030;False;700;Efterisolering af terrændæk ;1-4-1-0
