Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
5000;False;Belysning;4;False;6300;"Belysning trapper. 
Regulering ved bevægelsesmelder.";4-1-1-0
6500;False;Belysning;5;False;6100;"Belysning kælder. 
Regulering ved bevægelsesmelder.";4-1-1-0
18000;False;Belysning;3;False;6100;"Belysning Toiletter. 
Udskiftning af armaturer samt Regulering ved bevægelsesmelder.";4-1-1-0
104000;True;Belysning;2;False;9800;"Belysning gangarealer.
Udskiftning af armaturer samt Regulering ved bevægelsesmelder.";4-1-1-0
175500;True;Belysning;0;False;8800;"Belysning Kontorer.
Regulering ved PIR melder.";4-1-1-0
1432800;True;Vinduer;1;False;36600;Udskiftning af vindue med termoruder til nye vinduer med to-lags energirude.;1-3-1-0
