Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
16500;False;Varmtvandsrør;1;True;1600;Isolering af brugsvandsrør op til 50 mm;3-1-3-0
19200;False;Varmerør;5;True;1000;Isolering af varmefordelingsrør op til 50 mm;2-2-2-0
23200;False;Etageadskillelse;7;True;1200;Portgennemgang:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
46600;False;Belysning;3;True;4600;P-kælder: Monter lys og bevægelses styring;4-1-1-0
88400;False;Etageadskillelse;8;True;4400;Mod det fri ved terrasse på 3.sal:  Efterisolering af etageadskillelse mod det fri med 150 mm isolering;1-4-2-0
125800;False;Belysning;2;False;4600;Kælder og teknikrum: Udskift rør til LED og monter lys og bevægelses styring;4-1-1-0
313700;False;Etageadskillelse;6;False;6700;Efterisolering af gulv mod uopvarmet kælder med 50 mm isolering;1-4-2-0
351000;False;Vinduer;10;True;14600;Udskiftning af ruder i vinduer med termoruder;1-3-1-0
627500;False;Vinduer;11;True;24800;Udskiftning af ruder i facadepartier med termoruder;1-3-1-0
700000;False;Solceller;4;True;48500;Etablering af solceller;4-1-3-0
880300;False;Fladt tag;9;False;12200;Efterisolering af fladt tag med 200 mm isolering, så den samlede isolering udgør 300 mm ;1-1-2-0
1012000;False;Solvarme;0;False;31300;Etablering af solvarme;2-1-6-0
