Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1400;False;Vinduer;10;True;100;Udskiftning af rude i vindue i trapperum på 1. sal ved lysskakt;1-3-1-0
2000;False;Loft;9;True;200;Efterisolering af lysskaktvæg i tagrum;1-1-1-0
14400;False;Loft;2;False;300;"Efterisolering af loft mod uopvarmet tagrum
";1-1-1-0
22200;False;Yderdøre;3;False;400;Udskiftning af terrassedøre;1-3-3-0
28200;False;Vinduer;5;False;600;Udskiftning af vinduer med 2-lags termorude m. kold kant til nye energivinduer (BR10 krav);1-3-1-0
30300;False;Vinduer;6;False;600;Udskiftning af skydedørsparti;1-3-1-0
35000;False;Solceller;8;False;1200;Montering af et solcelleanlæg på 10 m²;4-1-3-0
