Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
3200;False;Loft;487186;True;200;Efterisolering af lodret væg mod uovarmet loftrum.;1-1-1-0
8000;False;Loft;487185;True;900;Efterisolering af loft over køkken, bryggers og stue.;1-1-1-0
31900;False;Vinduer;487198;True;1400;Udskiftning af vinduer med termoruder.;1-3-1-0
87400;False;Loft;487184;False;1600;Efterisolering af skråvægge.;1-1-1-0
90000;False;Solceller;487211;False;4500;Etablering af solceller.;4-1-3-0
185000;False;Varmeanlæg;487204;True;10200;Konvertering til luft/vand-varmepumpe inkl. etablering af centralvarmeanlæg.;2-1-1-0
