Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
750;False;Varmt brugsvand;112;Kan ikke beregnes;Kan ikke beregnes;Efterisolering af tilslutningsrør til varmtvandsbeholdere;3-1-0-0
5000;False;Belysning;116;False;500;Bevægelsesmeldere i depotrum o.lign.;4-1-1-0
7000;False;Varmt brugsvand;111;False;700;Montering af ny cirkulationspumpe på brugsvandsanlæg;3-1-0-0
15000;False;Varmt brugsvand;100;False;1200;Efterisolering af brugsvandsrør og cirkulationsledning;3-1-0-0
15000;False;Belysning;113;False;1700;Bevægelsesmeldere i toiletter, forrum o.lign.;4-1-1-0
30000;False;Apparater;117;True;2200;Udskiftning af udebelysning til LED;4-1-2-0
100000;False;Ventilation;118;True;8700;Udskiftning af tagventilatorer;1-5-0-0
118500;False;Belysning;104;True;10800;Udskiftning til LED belysning i gangarealer;4-1-1-0
190000;False;Varmefordeling;101;Kan ikke beregnes;Kan ikke beregnes;Efterisolering af varmefordelingsrør;2-2-0-0
332280;False;Vinduer, ovenlys og døre;119;False;20;Udskiftning af rulleporte;1-3-0-0
456000;False;Ydervægge;107;Kan ikke beregnes;Kan ikke beregnes;Indvendig efterisolering af kælderydervæg mod jord;1-2-0-0
600000;False;Varmeanlæg;120;True;60600;Udskiftning af kedler til kondenserende kedler (Energimærke A);2-0-0-0
618750;False;Belysning;114;False;72700;Ny belysning i kontorareal;4-1-1-0
750300;False;Vinduer, ovenlys og døre;102;False;24100;Udskiftning af 2 lags termoruder til energiruder i vinduer og døre;1-3-0-0
755000;False;Belysning;115;False;80600;Ny belysning i lagerareal;4-1-1-0
816504;False;Vinduer, ovenlys og døre;103;Kan ikke beregnes;Kan ikke beregnes;Montering af forsatsrude på ovenlys;1-3-0-0
906000;False;Gulve;108;Kan ikke beregnes;Kan ikke beregnes;Udførelse af nyt terrændæk;1-4-0-0
1188000;False;Kældergulv;110;False;6800;Udførelse af nyt kældergulv;1-4-4-0
4643064;False;Tag og loft;105;False;69900;Udvendig efterisolering af fladt tag;1-1-0-0
4950865;False;Ydervægge;106;Kan ikke beregnes;Kan ikke beregnes;Indvendig eller udvendig efterisolering af ydervægge;1-2-0-0
8852000;False;Gulve;109;False;13900;Udførelse af nyt terrændæk;1-4-0-0
