Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
500;False;Varmt brugsvand;68;True;97900;Isolering af uisoleret mandehul på varmtvandsbeholder;3-1-0-0
2750;False;Varmefordeling;67;False;97900;Isolering af uisolerede pumper og flanger i varmecentral;2-2-0-0
6000;False;Belysning;70;True;99300;Montering af bevægelsesmeldere i  kældergange på belysningsarmaturer;4-1-1-0
15000;False;Belysning;69;False;98800;Montering af bevægelsesmeldere i trappeskakte på belysningsarmaturer;4-1-1-0
25000;False;Varmefordeling;66;True;5300;Udskiftning af hovedpumpe på varmeanlæg;2-2-0-0
34020;False;Vinduer, ovenlys og døre;64;False;98500;Udskiftning af tolags termoruder i yderdøre til energiruder med U-værdi mindre end 1,1. Energiruderne skal være med varm kant;1-3-0-0
60000;False;Ventilation;71;True;400300;Montering af ur-styring på ventilationsanlæg således at drifttiden svarer til brugstiden;1-5-0-0
75623;False;Vinduer, ovenlys og døre;65;False;99400;Udskiftning af yderdøre til foyer med et lag glas til yderdøre monteret med tolags energiruder med varm kant;1-3-0-0
1740000;False;Vinduer, ovenlys og døre;63;False;144600;Udskiftning af tolags termoruder i vinduer til energiruder med U-værdi mindre end 1,1. Energiruderne skal være med varm kant.;1-3-0-0
