Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
0;False;Varmefordelingspumper;10;False;1100;Udskiftning af den eksisterende fordelingspumpe integreret i varmeforsyningen;2-2-3-0
7600;False;Loft;2;True;300;Efterisolering af loft mod uopvarmet tagrum;1-1-1-0
8800;False;Loft;4;True;400;Efterisolering af skunkvæg;1-1-1-0
13200;False;Loft;3;True;600;Efterisolering af gulv i skunkrum;1-1-1-0
17100;False;Yderdøre;7;False;500;Udskiftning af yderdør m. vindue;1-3-3-0
23000;False;Hule ydervægge;0;False;500;Efterfyldning af hulmur med ny isolering;1-2-1-0
30000;False;Kedler;9;True;3500;Installation af en ny A-mærket gaskedel (20 kW);2-1-2-0
42700;False;Vinduer;8;False;900;Udskiftning af vinduer med nye energivinduer (BR15 krav);1-3-1-0
63300;False;Loft;1;False;500;Efterisolering af skråvægge;1-1-1-0
100000;False;Solceller;11;True;6300;Montering af et solcelleanlæg på 40 m²;4-1-3-0
206100;False;Kældergulv;6;False;1000;Etablering af nyt kældergulv;1-4-4-0
293800;False;Kælder ydervægge;5;True;9100;Udvendig efterisolering af kældervægge med 200 mm trykfast mineraluld;1-2-4-0
