Investment;Recommended;SeebClassificationDescription;ProposalID;Profitable;Savings;ProposalHeadline;SeebClassification
1000;False;Automatik;4;True;500;Montage af termostatventiler.;2-2-4-0
2800;False;Lette ydervægge;10;False;200;Udvendig efterisolering af kvistflunke og ydervæg i kvist med 150 mm.;1-2-3-0
6900;False;Loft;6;True;500;Efterisolering af hanebåndsloft med 200 mm isolering.;1-1-1-0
8600;False;Etageadskillelse;8;True;700;Efterisolering af lukket etageadskillelse mod uopvarmet tagrum med 200 mm isolering.;1-4-2-0
11900;False;Lette vægge mod uopvarmet rum;9;False;200;Efterisolering af let væg mod uopvarmet tagrum med 200 mm isolering.;1-2-3-1
12000;False;Vinduer;11;True;500;Udskiftning af ældre vinduer.;1-3-1-0
15200;False;Yderdøre;12;True;600;Udskiftning af yderdøre mod gårdsplads.;1-3-3-0
20800;False;Loft;5;False;1300;Indvendig efterisolering af skråvægge i nyere del mod øst med 200 mm isolering.;1-1-1-0
23000;False;Massive vægge mod uopvarmet rum;7;True;2100;Udvendig efterisolering af væg mod uopvarmet udhus med 200 mm.;1-2-2-1
45000;False;Solvarme;14;False;1700;Montering af solfanger, vakumrør  til brugsvand.;2-1-6-0
55000;False;Kedler;3;True;23500;Udskiftning til ny Passat fastbrændselskedel, type Compact C2, manuel fyring og tank.;2-1-2-0
101300;False;Solceller;13;True;6000;Montage af nye solceller, Monokrystallinske silicium, 6,0 kW.;4-1-3-0
136800;False;Lette ydervægge;2;False;2200;Efterisolering af lette ydervægge af træ med 200 mm isolering;1-2-3-0
183200;False;Massive ydervægge;1;False;4100;Indvendig efterisolering af massive ydervægge med 200 mm.;1-2-2-0
339200;False;Terrændæk;0;False;2800;Ophugning af eksisterende terrændæk og støbning af nyt med 300 mm mineraluld eller polystyrenplader.;1-4-1-0
